Date,Score
2026-05-19 15:50:36,0
2026-05-19 15:51:43,0
2026-05-19 15:54:14,0
2026-05-19 16:03:55,0
2026-05-19 16:12:06,0
2026-05-19 16:16:30,0
2026-05-19 16:16:59,0
2026-05-19 16:17:55,64
2026-05-19 16:18:46,45
2026-05-19 16:20:14,72
2026-05-19 16:22:02,90
2026-05-19 16:29:00,59
2026-05-19 16:34:05,35
2026-05-19 16:34:46,72
2026-05-19 16:39:28,0
2026-05-19 16:40:26,50
2026-05-19 16:41:43,0
2026-05-19 16:42:26,50
2026-05-19 16:43:05,50
2026-05-19 16:45:18,50
2026-05-19 16:46:20,50
2026-05-19 16:46:46,50
2026-05-19 16:48:34,50
2026-05-19 16:48:55,45
2026-05-19 16:50:02,0
2026-05-19 16:50:18,0
2026-05-19 16:51:10,0
2026-05-19 16:55:38,0
2026-05-19 16:58:21,0
2026-05-19 22:59:12,0
2026-05-19 23:00:01,80
2026-05-19 23:00:46,72
2026-05-20 22:54:36,0
2026-05-20 22:58:07,0
2026-05-20 23:05:12,50
